Event	ID	Name			Wwise Object Path	Notes
	35644029	ganonDying			\Default Work Unit\ganonDying	
	206026834	jumpSFX			\Default Work Unit\jumpSFX	
	572351903	wizardsFoot			\Default Work Unit\wizardsFoot	
	803904150	memeExplosion			\Default Work Unit\memeExplosion	
	1082971067	lightHitSFX			\Default Work Unit\lightHitSFX	
	1127055252	spawnVoice			\Default Work Unit\spawnVoice	
	1260616606	heavyHitsVoice			\Default Work Unit\heavyHitsVoice	
	1506146985	lightHitsVoice			\Default Work Unit\lightHitsVoice	
	1588138976	heavySwordHit			\Default Work Unit\heavySwordHit	
	1636956486	ganonScreamingWarlockPunch			\Default Work Unit\ganonScreamingWarlockPunch	
	1663150478	SwordBeamSound			\Default Work Unit\SwordBeamSound	
	1726558475	thunderPunch			\Default Work Unit\thunderPunch	
	1752481894	grabStartSFX			\Default Work Unit\grabStartSFX	
	1800641154	Spawning			\Default Work Unit\Spawning	
	1907770022	swingEffect			\Default Work Unit\swingEffect	
	2152942206	stopLoopingSwingSound			\Default Work Unit\stopLoopingSwingSound	
	2184839552	fullyChargedSword			\Default Work Unit\fullyChargedSword	
	2241524948	Attack8DoriyaNormal			\Default Work Unit\Attack8DoriyaNormal	
	2320755133	hardHitsSFX			\Default Work Unit\hardHitsSFX	
	2337929022	superHitsVoice			\Default Work Unit\superHitsVoice	
	2501655105	warlockPunchSFX			\Default Work Unit\warlockPunchSFX	
	2566988422	swingSFX			\Default Work Unit\swingSFX	
	2785723162	warlockPunchVoice			\Default Work Unit\warlockPunchVoice	
	2837319454	flameChokeSFXEnd			\Default Work Unit\flameChokeSFXEnd	
	3013065368	swordHitSound			\Default Work Unit\swordHitSound	
	3169574177	Attack8Doriya			\Default Work Unit\Attack8Doriya	
	3308368998	loopingSwingSound			\Default Work Unit\loopingSwingSound	
	3654510015	grabSounds			\Default Work Unit\grabSounds	
	3692475780	infernoKickStart			\Default Work Unit\infernoKickStart	
	3798764932	darkDive1			\Default Work Unit\darkDive1	
	3798764935	darkDive2			\Default Work Unit\darkDive2	
	3998838023	randomSwingSound			\Default Work Unit\randomSwingSound	
	4164963883	wizardsFootVoice			\Default Work Unit\wizardsFootVoice	
	4208541365	startChargingSword			\Default Work Unit\startChargingSword	

Game Parameter	ID	Name			Wwise Object Path	Notes
	2368158596	Volume_GanonSFX			\Default Work Unit\Volume_GanonSFX	
	3055636435	Volume_GanonVoice			\Default Work Unit\Volume_GanonVoice	
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	
	3695994288	Volume_Master			\Default Work Unit\Volume_Master	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	2765992	darkDive2	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\vc_ganon_special_H02_27181423.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\darkDive2		5162
	41752237	StartCharging	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\se_common_smash_start_02_D50A8F13.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\StartCharging		5916
	53420476	se_ganon_swing_ll	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\se_ganon_swing_ll_D50A8F13.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\swingEffect\se_ganon_swing_ll		6559
	62653741	se_common_swing_03	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\se_common_swing_03_D50A8F13.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\randomSwingSound\se_common_swing_03		1819
	66423674	se_common_heavy_hit_l	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\se_common_heavy_hit_l_D50A8F13.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\hardHitsSFX\se_common_heavy_hit_l		17274
	86531036	se_common_kick_hit_s	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\se_common_kick_hit_s_D50A8F13.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\lightHitSFX\se_common_kick_hit_s		5299
	121653756	darkDiveSFXStart	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\se_ganon_special_H01_27181423.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\hardHitsSFX\darkDiveSFXStart		7437
	128741490	se_common_heavy_hit_m	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\se_common_heavy_hit_m_D50A8F13.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\hardHitsSFX\se_common_heavy_hit_m		15603
	174265678	vc_ganon_appeal_H01	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\vc_ganon_appeal_H01_27181423.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\spawnRandomVoice\vc_ganon_appeal_H01		7667
	180086029	loopingSwingSound	F:\coding\Ror2Ganon\ganonror2\.cache\Windows\SFX\se_common_swing_04_407483D1.wem		\Actor-Mixer Hierarchy\Default Work Unit\MasterMixer\SFX Mixxer\BasicVoiceSounds\loopingSwingSound		2928
